publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
US20130264293A1,2013/3/13,2013/10/10,US,US,7,C02F1/70,20,72,6,25,0,16,84,3,12,106,84,1,16,授权,发明申请
US3617466A,1968/12/6,1971/11/2,-,US,1,C10G1/02 | C10G1/00 | C10B53/06,8,4,3,3,0,1,3,0,0,1,3,1,1,期限届满,授权发明
US20140058159A1,2013/6/13,2014/2/27,US,US,3,B01J19/10,18,11,4,2,0,2,2,1,2,1,2,1,1,撤回-视为撤回,发明申请
US20130015657A1,2012/9/21,2013/1/17,-,US,2,F16L25/10,23,11,10,9,0,24,129,0,1,23,129,2,23,未缴年费 | 权利转移,发明申请
US20130261031A1,2012/3/29,2013/10/3,-,US,1,C07C29/80 | C09K8/60 | C09K8/62 | C09K8/03,11,8,11,3,4,7,12,0,1,7,7,1,3,授权,发明申请
US20160340589A1,2016/4/11,2016/11/24,CN,CN,12,C10B19/00 | C10B27/06 | C10B1/10 | H05B6/80 | H05B6/70,10,4,1,1,0,5,8,1,1,4,7,2,4,撤回-视为撤回,发明申请
US20150290596A1,2013/10/29,2015/10/15,US,US,2,B01D71/64 | B01D67/00 | B29C71/02 | B01D53/22,31,27,6,21,0,4,22,9,15,4,22,1,4,授权,发明申请
US20140034320A1,2013/10/2,2014/2/6,-,US,4,C09K8/68 | E21B43/267,17,12,3,13,0,4,73,3,9,48,13,1,1,撤回-视为撤回,发明申请
US20170135424A1,2014/7/16,2017/5/18,KR,KR,2,A41D19/00,26,22,11,6,0,8,11,3,4,8,11,1,8,撤回-视为撤回,发明申请
US20090173667A1,2008/9/22,2009/7/9,US,US,1,C10G33/00,34,28,18,9,0,4,26,2,6,4,26,1,4,撤回-视为撤回,发明申请
US8931809B2,2012/9/21,2015/1/13,-,US,3,F16L35/00,20,15,28,0,2,22,114,0,0,22,114,2,22,授权 | 权利转移,授权发明
US9074469B2,2013/9/16,2015/7/7,US,US,1,E21B43/16 | E21B43/24,34,8,12,2,2,8,28,0,0,6,28,1,6,未缴年费,授权发明
US20170304875A1,2017/7/11,2017/10/26,US,US,2,B08B3/08 | C02F1/461 | C02F1/467 | C25B15/04 | A01N59/00 | C25B9/12 | B08B3/10 | C25B15/02 | C25B9/17 | C02F103/36,20,51,2,3,0,17,43,2,2,17,29,1,14,授权,发明申请
US20150005560A1,2014/6/12,2015/1/1,US,US,3,C07C6/10 | C07C5/27 | C07C4/06 | C07C2/58,20,44,8,0,1,7,2,0,0,6,2,1,6,授权,发明申请
US8967262B2,2012/8/27,2015/3/3,US,US,1,E21B43/26,22,8,4,1,3,16,30,0,1,15,30,1,15,授权,授权发明
US9440217B1,2013/5/8,2016/9/13,-,US,4,B01J20/02 | B01J20/04 | C02F1/28,9,13,10,3,0,3,3,3,3,2,3,1,1,授权 | 许可,授权发明
US9834721B2,2015/11/17,2017/12/5,US,US,4,E21B43/267 | C09K8/86 | C09K8/68 | E21B43/26 | C09K8/60 | C09K8/66 | C09K8/88 | C09K8/80,23,28,29,36,1,16,74,23,32,16,58,2,10,授权,授权发明
US20140058084A1,2013/7/15,2014/2/27,US,US,2,C07C7/12,15,9,6,0,0,3,0,0,0,2,0,1,2,撤回-视为撤回,发明申请
US20150086888A1,2013/3/12,2015/3/26,JP,JP,2,H01M8/04 | G05D7/06 | G01F1/66 | H01M8/06,12,22,0,9,0,5,19,6,6,5,19,1,5,撤回-视为撤回,发明申请
US9828543B2,2016/6/7,2017/11/28,US,US,3,E21B43/267 | C09K8/82 | C09K8/60 | C09K8/86 | C09K8/64 | C09K8/68 | E21B43/26 | C09K8/88,50,31,24,3,0,16,74,2,3,16,40,2,3,授权,授权发明
US20130253835A1,2013/2/5,2013/9/26,GB,GB,2,G01V5/04 | G01V5/06,18,12,1,8,2,4,9,5,5,4,9,1,4,授权,发明申请
US20090173488A1,2008/9/22,2009/7/9,US,US,1,E21B43/24,34,29,18,17,0,4,26,2,3,4,26,1,4,撤回-视为撤回,发明申请
US20120043756A1,2010/8/23,2012/2/23,-,US,2,F16L25/00,23,11,11,48,0,24,129,15,33,23,129,2,23,未缴年费 | 权利转移,发明申请
US20150190772A1,2013/8/2,2015/7/9,US,US,3,B01F17/00 | C09K23/00,28,12,3,7,0,3,9,3,4,3,9,1,3,撤回-视为撤回,发明申请
US20130062054A1,2012/8/27,2013/3/14,US,US,1,E21B43/26 | E21B47/00,22,8,2,21,0,16,30,11,17,15,30,1,15,授权,发明申请
US8676721B2,2010/9/16,2014/3/18,US,US,2,G06F17/00 | G06F17/20 | G06F40/00,17,23,15,62,67,3,320,25,33,2,320,1,2,授权,授权发明
US9399823B2,2015/12/21,2016/7/26,US,US,2,C02F1/46 | C25B15/02 | C25B9/12 | C25B9/17,20,50,2,4,0,17,43,3,4,17,29,1,14,授权,授权发明
US20140202930A1,2014/3/20,2014/7/24,ZA | WO,ZA | WO,3,C10G1/04,48,13,2,1,0,13,25,1,1,13,25,1,13,撤回-视为撤回,发明申请
US20130259743A1,2013/3/13,2013/10/3,US,US,6,C02F1/50,27,50,6,48,0,16,84,12,24,106,84,1,16,授权,发明申请
US20140056771A1,2013/8/15,2014/2/27,US,US,6,B01J3/00,7,19,5,4,0,7,4,3,3,6,4,1,6,撤回-视为撤回,发明申请
US20140106007A1,2013/10/16,2014/4/17,US,US,2,C25B15/02 | A01N59/00 | C25B9/17,20,58,6,14,0,17,43,5,9,17,29,1,14,授权,发明申请
US9573171B2,2016/6/24,2017/2/21,US,US,2,C02F1/46 | B08B3/08 | B08B3/10 | B08B3/02 | C25B15/04 | C25B15/02 | C02F1/461 | C25B9/12 | C02F1/467 | C25B9/17,21,51,1,3,0,17,43,2,2,17,29,1,14,授权,授权发明
US20160108531A1,2015/12/21,2016/4/21,US,US,2,C25B15/02 | C25B9/12 | C25B9/17,20,51,0,8,0,17,43,6,8,17,29,1,14,授权,发明申请
US20130264059A1,2013/3/13,2013/10/10,US,US,7,C02F1/70 | E21B43/00,20,73,0,12,0,16,84,1,2,106,84,1,16,授权,发明申请
US20160137535A1,2016/1/25,2016/5/19,US,US,7,C02F1/70 | C02F1/72 | E21B21/06 | C02F3/34 | E21B43/00 | C02F1/50 | C02F1/76,20,74,2,0,0,16,84,0,0,106,84,1,16,授权,发明申请
US20140014336A1,2013/9/16,2014/1/16,US,US,1,E21B43/16,34,9,2,5,0,8,28,1,1,6,28,1,6,未缴年费,发明申请
US20180010436A1,2014/12/22,2018/1/11,-,US,3,E21B43/38 | E21B43/12,12,11,0,0,0,7,1,0,0,7,1,1,7,未缴年费,发明申请
US20180017319A1,2016/7/13,2018/1/18,-,US,2,F25J1/00 | B01D53/26 | B01D53/14,20,15,7,10,0,2,10,6,7,3,11,1,3,授权,发明申请
US20180022666A1,2016/7/21,2018/1/25,-,US,2,C07C2/12 | C01B39/02 | B01J37/06 | C01B39/38 | C10L1/06 | B01J29/40,8,7,3,0,0,6,9,0,0,6,0,1,1,授权,发明申请
US20180022664A1,2016/7/21,2018/1/25,-,US,2,C07C2/12 | C01B39/02 | B01J37/06 | C01B39/38 | C10L1/06 | B01J29/40,14,7,3,6,0,6,9,3,6,6,6,1,1,授权,发明申请
US20180022665A1,2016/7/21,2018/1/25,-,US,2,C07C2/12 | C01B39/02 | B01J37/06 | C01B39/38 | C10L1/06 | B01J29/40,8,7,3,1,0,6,9,0,1,6,1,1,1,授权,发明申请
US9880302B2,2013/5/15,2018/1/30,US | US,US | US,3,G01V1/28 | E21B43/25 | E21B49/00,20,18,9,2,8,4,21,1,1,2,21,1,2,授权,授权发明
US20180066178A1,2017/11/1,2018/3/8,US,US,3,C09K8/64 | E21B43/26 | C09K8/86 | C09K8/68 | E21B43/267 | C09K8/88 | C09K8/60 | C09K8/82,37,30,0,6,0,16,74,4,6,16,40,2,3,授权,发明申请
US20180079700A1,2016/3/7,2018/3/22,US,US,1,C07C5/333 | B01J23/62,11,16,1,11,0,21,44,8,10,21,44,1,21,授权,发明申请
US9926214B2,2013/3/13,2018/3/27,US,US,7,A01N25/32 | C02F3/34 | C02F1/50 | E21B43/00 | E21B21/06 | C02F1/70 | C02F1/72 | C02F1/76 | A01N37/16 | A01N25/22 | C09K8/66 | C09K8/60 | C02F103/08 | C02F103/10 | C02F103/36,20,77,528,0,65,16,84,0,0,106,84,1,16,授权,授权发明
US20180112491A1,2017/10/16,2018/4/26,US | US,US | US,1,E21B34/02 | E21B34/16 | E21B43/12,30,19,6,13,0,6,20,4,11,4,20,1,3,授权 | 诉讼,发明申请
US9999861B2,2013/10/29,2018/6/19,US,US,2,B01D71/02 | B29C71/02 | C10L3/10 | B01D67/00 | B01D69/02 | B01D53/22 | B01D71/64 | B29K79/00 | B29L31/00,11,25,9,0,4,4,22,0,0,4,22,1,4,授权,授权发明
US10017403B2,2013/3/13,2018/7/10,US,US,6,A01N25/22 | C09K8/60 | C02F3/34 | C02F1/70 | C02F1/50 | A01N37/16 | A01N25/32 | C09K8/66 | E21B21/06 | E21B43/00 | C02F1/76 | C02F1/72 | C02F103/08 | C02F103/10 | C02F103/36,26,56,515,1,65,16,84,0,0,106,84,1,16,授权,授权发明
US10016791B2,2017/1/11,2018/7/10,US,US,2,B08B3/08 | C02F1/461 | A01N59/00 | C25B15/02 | B08B3/10 | C02F1/467 | C25B15/04 | C25B9/12 | C25B9/17 | C02F103/36,22,52,36,2,2,17,43,2,2,17,29,1,14,授权,授权发明
US10023484B2,2016/1/25,2018/7/17,US,US,7,A01N25/22 | E21B43/00 | C02F1/70 | C02F1/76 | C02F3/34 | C09K8/60 | C09K8/66 | A01N37/16 | A01N25/32 | E21B21/06 | C02F1/72 | C02F1/50 | C02F103/08 | C02F103/10 | C02F103/36,19,78,501,0,42,16,84,0,0,106,84,1,16,授权,授权发明
US10030508B2,2016/8/5,2018/7/24,US,US,3,E21B47/10 | E21B43/14 | E21B43/12 | E21B43/16 | E21B41/00 | G01M3/20,26,15,4,4,1,9,27,3,3,9,27,1,9,授权,授权发明
US10047021B2,2014/6/12,2018/8/14,US,US,3,C07C6/08 | C07C4/06 | C07C6/10 | C07C5/27 | C07C2/58,15,44,53,0,65,7,2,0,0,6,2,1,6,授权,授权发明
US20180246254A1,2018/3/30,2018/8/30,-,US,6,G01V99/00 | E21B49/00 | E21B49/02 | E21B49/08,15,13,2,14,0,7,46,10,14,7,46,1,7,授权,发明申请
US20180273833A1,2018/5/29,2018/9/27,-,US,1,C09K8/72 | C09K8/035 | C09K8/62,4,9,14,5,4,7,12,5,5,7,6,1,2,授权,发明申请
US10086412B2,2017/7/11,2018/10/2,US,US,2,C02F1/46 | C02F1/461 | B08B3/10 | C02F1/467 | C25B15/04 | C25B9/12 | C25B15/02 | B08B3/08 | A01N59/00 | C25B9/17 | C02F103/36,18,52,36,1,2,17,43,0,0,17,29,1,14,授权,授权发明
US20180313195A1,2018/4/27,2018/11/1,US,US,4,E21B43/12 | E21B34/08 | E21B43/08 | E21B33/12 | E21B47/00 | E21B41/00 | F04B51/00 | F04B47/02 | F04B35/04,50,40,2,2,0,3,13,0,0,2,13,1,2,授权,发明申请
US20180313196A1,2018/4/27,2018/11/1,US,US,3,E21B43/12 | E21B36/00 | E21B34/08 | E21B43/08 | E21B33/12 | E21B47/00 | E21B41/00 | F04B35/04 | F04B51/00 | F04B47/02 | F04B53/08,33,44,5,9,0,3,13,8,9,2,13,1,2,授权,发明申请
US10145495B2,2012/9/21,2018/12/4,-,US,2,F16L15/06 | F16L15/00 | E21B17/08,18,11,41,8,7,24,129,7,7,23,129,2,23,未缴年费 | 权利转移,授权发明
US20180361435A1,2018/8/24,2018/12/20,US,US,2,B08B3/08 | C25B15/04 | C25B9/12 | A01N59/00 | B08B3/02 | C25B15/02 | C02F1/461 | C02F1/467 | B08B3/10 | C25B9/17 | C02F103/10 | C02F103/36,20,51,3,0,0,17,43,0,0,17,29,1,14,授权,发明申请
US20190047865A1,2018/6/4,2019/2/14,-,US,3,C01B32/184 | B01J19/08 | B01J19/12,35,19,0,11,0,10,302,6,11,10,11,1,2,授权 | 许可,发明申请
US10207962B2,2016/7/21,2019/2/19,-,US,2,C07C2/12 | B01J29/40 | C01B39/38 | C01B39/02,14,7,5,0,1,6,9,0,0,6,6,1,1,授权,授权发明
US20190055348A1,2017/1/11,2019/2/21,JP,JP,2,C08G63/16 | C08G63/78,6,11,1,4,0,12,15,2,4,12,15,1,12,撤回-视为撤回,发明申请
US10214426B2,2016/7/21,2019/2/26,-,US,2,B01J29/40 | C10G50/00 | C01B39/38 | B01J37/06 | C01B39/02 | C10L1/06,8,6,5,0,1,6,9,0,0,6,0,1,1,授权,授权发明
US10215314B2,2010/8/23,2019/2/26,-,US,2,F16L15/06 | E21B17/08 | F16L15/00,20,12,16,0,3,24,129,0,0,23,129,2,23,未缴年费 | 权利转移,授权发明
US10214462B2,2016/7/21,2019/2/26,-,US,2,C07C2/12 | C01B39/38 | B01J37/06 | B01J29/40 | C10L1/06 | C01B39/02,8,7,5,0,1,6,9,0,0,6,1,1,1,授权,授权发明
US10227271B2,2016/3/7,2019/3/12,US,US,1,C07C5/327 | B01J35/10 | B01J23/92 | B01J23/887 | B01J23/26 | B01J21/12 | B01J21/04 | B01J35/00 | B01J23/94 | B01J23/62 | B01J38/14 | B01J38/12 | B01J38/02 | C07C5/333 | B01J23/96,12,17,34,6,3,21,44,5,6,21,44,1,21,授权,授权发明
US20190154859A1,2018/10/30,2019/5/23,US,US,6,G01V1/46 | E21B47/14 | E21B47/12 | G01V1/24,26,27,2,9,0,3,11,5,6,3,11,1,3,授权,发明申请
US20190186234A1,2019/2/23,2019/6/20,US | US,US | US,1,E21B34/02 | E21B43/12 | E21B34/16,35,17,0,0,0,6,20,0,0,4,20,1,3,授权,发明申请
US10358891B2,2017/10/16,2019/7/23,US | US,US | US,1,E21B34/02 | E21B43/12 | E21B34/16,7,17,23,2,0,6,20,2,2,4,20,1,3,授权 | 诉讼,授权发明
US20190225893A1,2019/1/24,2019/7/25,FR,FR,3,C10G9/36 | C10G65/12 | C10G69/06 | F25J3/02,15,12,0,0,0,4,0,0,0,4,0,1,4,授权,发明申请
US20190225563A1,2019/1/23,2019/7/25,WO | US,WO | US,1,C07C5/333 | B01J23/26 | B01J38/02 | B01J38/12 | B01J38/14 | B01J23/62 | B01J23/94 | B01J35/00 | B01J21/04 | B01J21/12 | B01J23/887 | B01J23/92 | B01J23/96 | B01J35/10 | B01J8/00 | B01J8/26 | B01J8/18 | B01J8/12 | B01J8/08,15,16,3,4,0,21,44,4,4,21,44,1,21,授权,发明申请
US10436007B2,2014/12/22,2019/10/8,-,US,3,E21B43/38 | E21B43/12 | E21B43/30 | E21B17/18,12,12,6,0,3,7,1,0,0,7,1,1,7,未缴年费,授权发明
US10436727B2,2016/5/13,2019/10/8,US,US,6,G01N24/08 | G01R33/44,23,17,5,0,8,2,9,0,0,1,9,1,1,授权,授权发明
US20190360300A1,2019/7/15,2019/11/28,US | US,US | US,1,E21B34/02 | E21B43/12 | E21B34/16,31,16,0,2,0,6,20,2,2,4,20,1,3,授权 | 诉讼,发明申请
US10513906B2,2019/7/15,2019/12/24,US | US,US | US,1,F16N13/00 | E21B34/02 | E21B34/16 | E21B43/12,6,17,22,3,1,6,20,3,3,4,20,1,3,授权 | 诉讼,授权发明
US20200018149A1,2019/7/15,2020/1/16,US,US,4,E21B47/00 | E21B47/09 | E21B47/12 | G01H9/00,20,49,0,31,0,9,34,13,13,9,34,1,9,授权,发明申请
US10577888B2,2019/2/23,2020/3/3,US | US,US | US,1,E21B34/02 | E21B43/12 | E21B34/16,11,17,22,4,1,6,20,3,3,4,20,1,3,授权,授权发明
US10590048B2,2019/1/23,2020/3/17,WO | US,WO | US,1,C07C5/327 | B01J8/26 | B01J8/18 | B01J8/12 | B01J8/08 | B01J35/10 | B01J23/96 | B01J23/92 | B01J23/887 | B01J23/26 | B01J21/12 | B01J21/04 | B01J35/00 | B01J23/94 | B01J8/00 | B01J38/14 | B01J38/12 | B01J38/02 | C07C5/333 | B01J23/62,13,16,34,0,7,21,44,0,0,21,44,1,21,授权,授权发明
US20200103549A1,2019/10/2,2020/4/2,US,US,3,G01V99/00 | G06F17/50,27,45,4,3,2,2,3,3,3,1,3,1,1,授权,发明申请
US10619089B2,2017/11/1,2020/4/14,US,US,3,C09K8/80 | C09K8/88 | C09K8/60 | E21B43/26 | C09K8/68 | C09K8/64 | E21B43/267 | C09K8/82 | C09K8/86,18,30,60,2,3,16,74,2,2,16,40,2,3,授权,授权发明
US10648303B2,2018/4/27,2020/5/12,US,US,4,E21B43/12 | F04B17/00 | F04B35/04 | E21B36/00 | F04B47/06 | F04B53/10 | E21B33/12 | E21B47/00 | F04B47/02 | E21B34/08 | E21B47/06 | E21B41/00 | F04B51/00 | F04B53/08 | E21B43/08 | E21B47/12,46,40,35,2,1,3,13,0,0,2,13,1,2,授权,授权发明
US10676664B2,2018/5/29,2020/6/9,-,US,1,C09K8/62 | C09K8/70 | C09K8/035 | C09K8/72,7,10,14,1,6,7,12,0,0,7,6,1,2,授权,授权发明
US20200194140A1,2019/12/18,2020/6/18,US | US | US,US | US | US,4,G21F9/36 | B09B1/00 | G21F5/015 | G21F5/06 | E21B41/00,24,59,5,6,0,7,10,6,6,4,10,1,4,授权,发明申请
US10690794B2,2018/10/30,2020/6/23,US,US,6,G01V1/46 | E21B47/01 | E21B47/14 | E21B47/16 | E21B47/12 | G01V11/00 | G01V1/24,25,29,326,2,34,3,11,0,0,3,11,1,3,授权,授权发明
US20200208046A1,2020/3/10,2020/7/2,US,US,3,C09K8/64 | C09K8/68 | E21B43/267 | E21B43/26 | C09K8/60 | C09K8/86 | C09K8/88 | C09K8/82,19,31,0,0,0,16,74,0,0,16,40,2,3,授权,发明申请
US20200224076A1,2020/3/20,2020/7/16,JP,JP,2,C09K8/44 | C08F218/08 | C04B24/26,6,8,0,4,0,11,11,4,4,11,11,1,11,授权,发明申请
US10760387B2,2018/4/27,2020/9/1,US,US,3,E21B34/08 | E21B33/12 | E21B47/008 | F04B35/04 | F04B47/06 | F04B53/10 | F04B17/00 | E21B43/12 | E21B36/00 | F04B47/02 | E21B43/08 | F04B53/08 | E21B47/07 | E21B41/00 | E21B47/06 | E21B47/12 | F04B51/00,31,43,28,1,1,3,13,0,0,2,13,1,2,授权,授权发明
US20200299570A1,2020/6/5,2020/9/24,-,US,1,C09K8/72 | C09K8/035 | C09K8/62 | C09K8/70,11,9,0,0,0,7,12,0,0,7,6,1,2,授权,发明申请
US20200320239A1,2020/4/6,2020/10/8,FR,FR,4,G06F30/28 | G01N33/24 | G01N15/10 | G01N15/08,25,20,3,11,0,5,11,11,11,5,11,1,5,撤回-视为撤回,发明申请
US20200319360A1,2020/4/6,2020/10/8,US,US,1,G01V1/50 | G01V1/30 | G01V5/12 | G01V11/00,25,35,2,1,0,6,1,1,1,6,1,1,6,授权,发明申请
US20200316570A1,2018/12/20,2020/10/8,EP,EP,6,B01J29/46 | C07C43/04 | C07C41/01 | B01J8/06,36,8,0,0,0,12,6,0,0,12,6,1,12,授权,发明申请
US10822548B2,2019/1/24,2020/11/3,FR,FR,3,C10G65/12 | C07C2/76 | C07C5/327 | F25J3/02 | C10G9/36 | C10G69/06,19,13,4,0,6,4,0,0,0,4,0,1,4,授权,授权发明
US20200377780A1,2019/2/4,2020/12/3,JP,JP,2,C09K8/487 | C08F218/04 | C04B24/26 | C09K8/44,6,7,0,0,0,11,11,0,0,11,11,1,11,授权,发明申请
US10962679B2,2018/3/30,2021/3/30,-,US,6,G01V99/00 | E21B49/00 | G01V5/10 | E21B49/02 | E21B49/08,13,13,15,0,12,7,46,0,0,7,46,1,7,授权,授权发明
US20210115452A1,2017/4/27,2021/4/22,-,US,12,C12N15/52 | C12P7/24 | C12P7/16 | C12N15/70 | C12N9/10 | C12N9/04 | C12N9/88 | C12N9/12,183,165,0,1,0,10,7,1,1,8,7,1,8,授权,发明申请
US10989469B2,2016/7/13,2021/4/27,-,US,2,F25J1/00 | C10L3/10 | B01D53/14 | C10L3/12 | B01D53/26 | B01D53/64,20,16,16,0,3,2,10,0,0,3,11,1,3,授权,授权发明
US10995252B2,2020/3/20,2021/5/4,JP,JP,2,C09K8/44 | C04B24/26 | C08F218/08 | C08F218/04 | C09K8/487,5,7,17,0,4,11,11,0,0,11,11,1,11,授权,授权发明
US20210131252A1,2017/12/19,2021/5/6,US,US,2,E21B43/267 | C09K8/80 | C09K8/76 | C09K8/72,15,17,0,0,0,5,0,0,0,5,0,1,5,撤回-视为撤回,发明申请
US11000883B2,2018/8/24,2021/5/11,US,US,2,C02F1/46 | B08B3/08 | C25B15/02 | A01N59/00 | C02F1/467 | C02F1/461 | C25B9/30 | C25B11/02 | C25B11/034 | B08B3/02 | B08B3/10 | C25B15/04 | C02F103/10 | C02F103/36 | C25B9/17,24,51,42,2,2,17,43,1,1,17,29,1,14,授权,授权发明
US11041110B2,2020/3/10,2021/6/22,US,US,3,C09K8/64 | C09K8/68 | E21B43/267 | E21B43/26 | C09K8/60 | C09K8/86 | C09K8/88 | C09K8/82,19,31,63,0,3,16,74,0,0,16,40,2,3,授权,授权发明
US20210189276A1,2020/12/11,2021/6/24,US,US,7,C10L10/10 | C07C407/00 | C10L1/04 | C07C29/48 | C07C2/86,17,11,0,0,0,2,0,0,0,1,0,1,1,授权,发明申请
US11046880B2,2019/2/4,2021/6/29,JP,JP,2,C09K8/487 | C08F218/04 | C09K8/44 | C04B24/26 | C08F218/08,5,7,17,0,4,11,11,0,0,11,11,1,11,授权,授权发明
US20210215420A1,2021/3/26,2021/7/15,-,US,2,F25J1/00 | C10L3/10 | B01D53/14 | C10L3/12,20,15,3,0,0,2,10,0,0,3,11,1,3,实质审查,发明申请
US11096902B1,2021/5/7,2021/8/24,-,US,3,A61K9/70 | A61K47/10 | A61K47/32 | A61K47/12 | C08J5/18 | A61K31/40,11,24,3,0,4,1,0,0,0,1,0,1,1,授权,授权发明
US20210268553A1,2021/3/26,2021/9/2,US,US,2,B08B3/08 | C25B15/02 | A01N59/00 | C02F1/467 | C02F1/461 | C25B9/30 | C25B11/02 | C25B11/034 | B08B3/02 | B08B3/10 | C25B15/04 | C25B9/17,24,52,9,0,0,17,43,0,0,17,29,1,14,实质审查,发明申请
US11120371B2,2014/6/23,2021/9/14,-,US,2,G06Q10/00 | G06Q10/06 | H04L12/24,8,27,14,2,1,2,19,2,2,2,19,1,2,授权 | 权利转移,授权发明
US20210284901A1,2019/7/30,2021/9/16,US,US,2,C09K8/88 | C09K8/84 | C09K8/60,15,8,8,1,0,4,1,0,0,4,1,1,4,实质审查,发明申请
US20210292258A1,2021/3/10,2021/9/23,US,US,8,C07C5/333 | B01J21/04 | B01J23/42 | B01J21/06 | B01J37/08 | B01J37/02 | B01J37/18 | B01J37/12 | B01J35/10 | B01J35/02 | B01J35/00,48,40,18,0,0,3,0,0,0,2,0,1,2,授权 | 许可,发明申请
US11158434B2,2019/12/18,2021/10/26,US | US | US,US | US | US,4,B09B1/00 | G21F9/36 | E21B41/00 | G21F5/015 | G21F5/06,28,66,54,1,20,7,10,0,0,4,10,1,4,授权,授权发明
US11187071B2,2019/7/15,2021/11/30,US,US,4,E21B47/003 | G01H9/00 | E21B47/12 | E21B47/09,20,49,8,2,9,9,34,0,0,9,34,1,9,授权,授权发明
US20210406786A1,2021/9/13,2021/12/30,-,US,2,G06Q10/06 | H04L12/24,20,28,20,0,0,2,19,0,0,2,19,1,2,实质审查,发明申请
US20220033572A1,2021/10/13,2022/2/3,JP,JP,2,C08G63/16 | C08G63/78,2,11,7,0,0,12,15,0,0,12,15,1,12,实质审查,发明申请
US11255184B1,2020/10/20,2022/2/22,-,US,2,E21B47/06 | E21B49/00,27,27,16,3,14,2,3,1,1,2,3,1,2,授权 | 权利转移,授权发明
US20220074295A1,2021/8/5,2022/3/10,US,US,1,E21B43/267 | E21B43/26,24,24,15,0,0,2,0,0,0,1,0,1,1,授权,发明申请
US20220088573A1,2021/12/3,2022/3/24,CN,CN,4,B01J23/06 | B01J21/04 | B01J35/00 | B01J37/02 | B01J37/08 | C07C5/32,15,14,0,0,0,4,10,0,0,4,10,1,4,实质审查,发明申请
US20220128441A1,2021/9/21,2022/4/28,CN,CN,4,G01N3/12 | G01N3/36,12,16,3,2,0,3,5,2,2,3,5,1,3,授权,发明申请
US11319480B2,2020/6/5,2022/5/3,-,US,1,C09K8/62 | C09K8/72 | C09K8/035 | C09K8/70,7,10,22,0,17,7,12,0,0,7,6,1,2,授权,授权发明
US20220157482A1,2021/10/25,2022/5/19,US | US | US,US | US | US,4,G21F9/36 | B09B1/00 | E21B41/00 | G21F5/015 | G21F5/06,1,65,0,0,0,7,10,0,0,4,10,1,4,实质审查 | 权利转移,发明申请
US20220162931A1,2021/2/4,2022/5/26,CN,CN,5,E21B43/26 | G01V99/00 | G01V1/28 | G01V1/42,19,17,7,74,0,64,207,33,33,62,78,1,3,实质审查,发明申请
US11358869B2,2018/6/4,2022/6/14,-,US,3,C01B32/184 | B01J19/08 | B01J19/12 | H05H1/30 | H05H1/46,21,20,47,0,20,10,302,0,0,10,11,1,2,授权 | 许可,授权发明
US20220241824A1,2022/2/17,2022/8/4,US,US,2,B08B3/08 | C25B15/02 | A01N59/00 | C02F1/467 | C02F1/461 | C25B9/30 | C25B11/02 | C25B11/034 | B08B3/02 | B08B3/10 | C25B15/04,20,52,0,1,0,17,43,0,0,17,29,1,14,实质审查,发明申请
US11421235B2,2018/4/27,2022/8/23,US | US,US | US,12,C12N1/20 | C12N9/10 | C12N9/04 | C12N9/12 | C12N9/88 | C12P7/00 | C12N15/52 | C12N15/70 | C12P7/16 | C12P7/24,11,154,20,0,11,10,7,0,0,8,7,1,8,授权,授权发明
US20220275269A1,2022/5/20,2022/9/1,CN,CN,7,C09K8/68 | C09K8/70 | C07F5/02,10,16,3,2,0,2,4,2,2,2,4,2,2,授权,发明申请
US20220282606A1,2022/5/18,2022/9/8,CN,CN,5,E21B43/26 | G01V99/00 | G01V1/42 | G01V1/28,20,18,6,61,0,64,207,27,27,62,63,1,3,授权,发明申请
US20220288892A1,2022/3/14,2022/9/15,JP,JP,1,B32B15/14 | C08J5/24 | C08J5/12 | B32B5/02 | B32B15/20 | B32B7/12 | B32B15/04,30,38,0,0,0,2,3,0,0,2,3,1,2,实质审查,发明申请
US20220316362A1,2021/8/6,2022/10/6,CN,CN,8,F01D25/30 | F01D25/28,19,17,0,58,0,64,207,23,23,62,58,1,2,实质审查,发明申请
US20220371896A1,2022/6/13,2022/11/24,-,US,3,C01B32/184 | B01J19/08 | B01J19/12 | H05H1/30,56,19,0,0,0,10,302,0,0,10,11,1,2,实质审查,发明申请
US20220389804A1,2022/8/15,2022/12/8,CN | CN,CN | CN,7,E21B43/26 | F04B17/03 | H02K7/18,-,24,0,46,0,64,207,16,16,62,46,1,1,实质审查,发明申请
US11529616B2,2018/12/20,2022/12/20,EP,EP,6,B01J29/06 | B01J29/46 | B01J8/06 | C07C41/01 | C07C43/04 | B01J37/00 | B01J35/02 | B01J35/00 | C07C41/09,14,7,16,0,4,12,6,0,0,12,6,1,12,授权,授权发明
